Date,log_return
1986-01-03,0.017067908512148018
1986-01-06,0.020179630128166298
1986-01-07,-0.02596556719521011
1986-01-08,0.0007733952434996876
1986-01-09,0.006165722808536288
1986-01-10,-0.014706147389695562
1986-01-13,-0.02247285585205863
1986-01-14,-0.004395611473038109
1986-01-15,0.008374924324519181
1986-01-16,-0.04882987901683292
1986-01-17,-0.014703058400551833
1986-01-20,-0.10240255871555737
1986-01-21,-0.03433813758089146
1986-01-22,-0.017621601349819445
1986-01-23,-0.01592865932784485
1986-01-24,-0.024379064160248126
1986-01-27,0.07046565102465417
1986-01-28,-0.07046565102465417
1986-01-29,0.008192570143799604
1986-01-30,-0.0015310031058906885
1986-01-31,-0.03270470557392895
1986-02-03,-0.08418496010407846
1986-02-04,-0.1116309309817546
1986-02-05,0.043949320131792174
1986-02-06,0.01946533478810325
1986-02-07,0.06416194421728585
1986-02-10,-0.05337693854072326
1986-02-11,-0.030250340464665855
1986-02-12,-0.0337321175851371
1986-02-13,0.04290368905991944
1986-02-14,-0.02464696542771503
1986-02-18,-0.08661447283677105
1986-02-19,0.025521868795119553
1986-02-20,-0.06506916588337394
1986-02-21,-0.036026950987994855
1986-02-24,0.07421277747792819
1986-02-25,0.0
1986-02-26,-0.004095568864737082
1986-02-27,-0.039768058541877524
1986-02-28,-0.06013541765289047
1986-03-03,-0.09924838543956105
1986-03-04,0.0
1986-03-05,0.004164937299284202
1986-03-06,0.08749615832811752
1986-03-07,-0.07019041123052482
1986-03-10,0.0556140119885745
1986-03-11,0.022163689054109835
1986-03-12,0.060135417652890495
1986-03-13,-0.10892558182232258
1986-03-14,-0.0039761483796392945
1986-03-17,0.05653847847049481
1986-03-18,0.054938750066081704
1986-03-19,-0.05720034168213828
1986-03-20,-0.03846628082779605
1986-03-21,0.08994823666293938
1986-03-24,-0.13404355652816372
1986-03-25,0.018676953783408858
1986-03-26,-0.03270937553603229
1986-03-27,-0.058185786059175786
1986-03-31,-0.10194003834299448
1986-04-01,0.08236645970303635
1986-04-02,0.019573578639958122
1986-04-03,0.03037109787629877
1986-04-04,0.08594242980072483
1986-04-07,0.12100224929484132
1986-04-08,-0.11474734227173138
1986-04-09,0.01316317883399178
1986-04-10,0.034029748586311255
1986-04-11,0.01329413966059335
1986-04-14,-0.05194995663568679
1986-04-15,-0.01714773116077828
1986-04-16,-0.10082852254277175
1986-04-17,0.021506205220963682
1986-04-18,0.011003073344330939
1986-04-21,0.04927104900678263
1986-04-22,0.05077232537342314
1986-04-23,0.042496144519374286
1986-04-24,-0.003656311203110432
1986-04-25,0.04161289047079233
1986-04-28,-0.06458537161428335
1986-04-29,0.021506205220963682
1986-04-30,-0.01851219100835883
1986-05-01,0.030907537463076704
1986-05-02,0.05977174329991735
1986-05-05,-0.022783173930576734
1986-05-06,0.007652211253280015
1986-05-07,0.047370155014485014
1986-05-08,0.03698118455399772
1986-05-09,0.008246161538658515
1986-05-12,-0.005066508621278727
1986-05-13,-0.006369448285479823
1986-05-14,-0.0076972798255666
1986-05-15,0.009612377761666034
1986-05-16,0.025190248828558495
1986-05-19,0.06325504858520828
1986-05-20,-0.057055400705682914
1986-05-21,-0.04100227446974994
1986-05-22,0.03231196527777264
1986-05-23,0.055182231388090926
1986-05-27,-0.11557309000558061
1986-05-28,-0.03025440835780226
1986-05-29,-0.010291686036547636
1986-05-30,-0.013889112160667037
1986-06-02,-0.03559094510270263
1986-06-03,-0.03315220731690051
1986-06-04,-0.015094626222484904
1986-06-05,0.004552359910460476
1986-06-06,-0.03701270596491884
1986-06-09,-0.009471262592487048
1986-06-10,-0.01840788272037808
1986-06-11,0.08808780335836787
1986-06-12,0.012495568685539579
1986-06-13,0.010174506376309407
1986-06-16,-0.013100624045698093
1986-06-17,0.0
1986-06-18,-0.002200220909602535
1986-06-19,0.008043919058513547
1986-06-20,0.05041891368480042
1986-06-23,-0.027379737684925305
1986-06-24,-0.004994658974090647
1986-06-25,-0.055140758678799855
1986-06-26,-0.006825965070399871
1986-06-27,0.018100041643617937
1986-06-30,-0.04431588377451096
1986-07-01,-0.03255547528452036
1986-07-02,-0.028655255760376176
1986-07-03,-0.028645598076964564
1986-07-07,-0.04546237407675729
1986-07-08,0.0008940545968807142
1986-07-09,-0.01712524952546326
1986-07-10,0.011748892489083049
1986-07-11,0.0
1986-07-14,0.008944603462898285
1986-07-15,0.053739098830788264
1986-07-16,0.06769808142793975
1986-07-17,-0.030426686630707977
1986-07-18,0.03984590854719956
1986-07-21,0.02087435671055901
1986-07-22,-0.183393286208334
1986-07-23,-0.004606180414897364
1986-07-24,0.01101939524961048
1986-07-25,-0.011019395249610538
1986-07-28,0.023723740349376417
1986-07-29,0.04754416516829744
1986-07-30,0.00856169613481098
1986-07-31,-0.043560893915032275
1986-08-01,0.02896209449387957
1986-08-04,0.1915064663710271
1986-08-05,0.024692612590371414
1986-08-06,0.03087723856443923
1986-08-07,0.02535159119741434
1986-08-08,-0.02332661581764308
1986-08-11,0.00605043862577408
1986-08-12,0.03813742914958606
1986-08-13,-0.014295240186826584
1986-08-14,0.009768882636695028
1986-08-15,0.02559320751785141
1986-08-18,-0.0159188334503186
1986-08-19,-0.039272062353528765
1986-08-20,0.016551188817997
1986-08-21,0.0
1986-08-22,0.01628170125451061
1986-08-25,0.0
1986-08-26,0.01919444725614716
1986-08-27,0.003163558475192716
1986-08-28,0.0
1986-08-29,0.006297250029036342
1986-09-02,0.030904808127219657
1986-09-03,-0.02464696542771503
1986-09-04,0.009313945008883988
1986-09-05,-0.03458376719696038
